KO	Symbol	Name	Cycle	Function	Pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
77	K14083	mttB	 trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]	Carbon	Methanogenesis	Methanogenesis	53	0	0	54	0	7	0	12	0	39	30	78	0	1.34	117	0	0	130	34	41	0	18	304.5	28	41	178	0	6	0	0	0	0	0	97	149	0	54	141	50	73	0	0	0	33	42	0	0	0	17	17	18.5	15.99	35	61	278.01	230.99	340	115.01	201.01	297.99	28.01	243.99	155.01	39	4	170	63.01	82	0	64.01	252.01	279	239.01	331	163	195.01	277	201.99	85	367	35.01	146.01	52.99	139	126	31.99	80.01	297.99	158.99	220.99
78	K14084	mttC	 trimethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	0	0	0	0	0	0	0	0	27	1.34	0	0	0	5	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	7	0	14.66	6	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	9.34	6	1.34	0	0	1.34	0	4.66	0	8	5.34	5.34	2.66	8	2	0.66	1.34	4.66	2.66	2.66
79	K14582	nahB, doxE	cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase [EC:1.3.1.29 1.3.1.60]	Carbon	Lignin breakdown	Lignin breakdown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	K15230	aclA	ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	Carbon	Autotrophic C fixation	rTCA	40	36	44	44	44	39	24	55	30	26	49	48	21	17	34	40	48	23	17	25	53	39	37	39	33	46	39	30	19	17	28	31	46	50	31	27	25	27	26	30	49	19	15	28	14	11	21	15	14	17	15	22	15	24	7	0	10	0	0	0	0	0	0	0	6	0	5	0	9	17	10	8	2	4	10	3	3	3	0	0	0	6	7	5	9	12	7	7	10	4
81	K15231	aclB	ATP-citrate lyase beta-subunit [EC:2.3.3.8]	Carbon	Autotrophic C fixation	rTCA	40	36	44	44	44	39	24	55	30	26	49	48	21	17	34	40	48	23	17	25	53	39	37	39	33	46	39	30	19	17	28	31	46	50	31	27	25	27	26	30	49	19	15	28	14	11	21	15	14	17	15	22	15	24	7	0	10	0	0	0	0	0	0	0	6	0	5	0	9	17	10	8	2	4	10	3	3	3	0	0	0	6	7	5	9	12	7	7	10	4
82	K15750	bphAb, bphA2, bph	biphenyl 2,3-dioxygenase subunit beta [EC:1.14.12.18]	Carbon	Lignin breakdown	Lignin breakdown	5	0	0	15	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	24	0	0	0	0	0	4	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	Nitrogen	Denitrification	Denitrification	5.4	0	4	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	1	0	0	4.4	0	0	0	0	7	0	2	1	0.5	0	0	0	0.5	19	0	0	14.5	0	8	0	10	0	6	8	0	0	0	0	0	18	12	0	0	0	0	1
84	K15876	nrfH	cytochrome c nitrite reductase small subunit	Nitrogen	Denitrification	Dissimilatory nitrate reduction	11	13	26	0	23	44	0	36	4	76	90	37	23	30	45	45	29	8	20	26	75	61	91	29	41	38	28	21	20	28	52	45	43	48	21	1	17	19	5	22	18.33	27	28.67	13	4	68	70	86	147	127	140	41	23	13	42	9	33	16	17	17	22	22	32	7	58	45	66	65	48	40	61	73	45.33	18.5	13	26	13.5	69.5	0	56	55	43.5	14	65	41	0	38	81.5	48	66
85	K16176	mtmB	 methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	5.34	6	1.34	0	0	1.34	0	4.66	0	8	5.34	5.34	2.66	8	2	0.66	1.34	4.66	2.66	2.66
86	K16177	mtmC	 monomethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.33
87	K16178	mtbB	 dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65	0	0	3.35	1.65	10	13.35	8.35	6.65	8.35	6.65	8.35	5	0	5	8.35	15	0	3.35	13.35	15	3.35	0	0	3.35	0	11.65	0	20	13.35	13.35	6.65	15	5	1.65	3.35	11.65	6.65	6.65
88	K16179	mtbC	 dimethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	5.34	6	1.34	0	0	1.34	0	4.66	0	8	5.34	5.34	2.66	6	2	0.66	1.34	4.66	2.66	2.66
89	K22896	vnfD	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	K22897	vnfK	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	K22898	vnfG	vanadium nitrogenase delta subunit [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	K22899	vnfH	vanadium nitrogenase iron protein	Nitrogen	N fixation	Nitrogen fixation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
